,subtasks,description,crafter_subtasks
280,"['Collect Wood', 'Collect Drink', 'Defeat Zombie']"," 'Collect firewood, brew a drink, and banish the wraiths.'","['collect_wood', 'collect_drink', 'defeat_zombie']"
281,"['Defeat Zombie', 'Collect Iron with count 1', 'Make Iron Sword']"," ""Slay the wights, gather a nugget of mithril, and forge a blade of iron.""","['defeat_zombie', 'collect_iron', 'make_iron_sword']"
282,"['Collect Coal', 'Collect Wood', 'Place Table', 'Make Wood Pickaxe']"," ""Gather coal, assemble timber, place a table, and craft a wooden pickaxe, all in the heart of the forest.""","['collect_coal', 'collect_wood', 'place_table', 'make_wood_pickaxe']"
283,"['Defeat Zombie', 'Eat Cow', 'Place Stone']","""Vanquish the undead, dine on a bovine, and situate a stone.""","['defeat_zombie', 'eat_cow', 'place_stone']"
284,"['Collect Stone', 'Make Stone Sword with count 3', 'Place Table', 'Make Wood Pickaxe', 'Collect Stone', 'Place Stone with count 2']"," ""Gather three stones, shape a sword from stone, place a table, carve a pickaxe from wood, collect two more stones, and lay them down.""","['collect_stone', 'make_stone_sword', 'make_stone_sword', 'make_stone_sword', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'place_stone', 'place_stone']"
285,"['Defeat Zombie', 'Place Plant', 'Collect Stone']","Instruct the agent to vanquish the undead, position a rock in the environment, and gather a mineral deposit.","['defeat_zombie', 'place_plant', 'collect_stone']"
286,"['Make Stone Sword with count 3', 'Place Stone', 'Collect Sapling']"," ""Craft three Stone Swords, place a Stone block, and find a Sapling.""","['make_stone_sword', 'make_stone_sword', 'make_stone_sword', 'place_stone', 'collect_sapling']"
287,"['Collect Wood with count 3', 'Collect Sapling', 'Place Table', 'Make Wood Pickaxe', 'Collect Stone', 'Place Stone']","""Gather three units of timber, acquire a sapling, construct a table, fashion a wooden pickaxe, mine three stones, and lay down the stones.""","['collect_wood', 'collect_wood', 'collect_wood', 'collect_sapling', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'place_stone']"
288,"['Eat Cow', 'Make Wood Pickaxe', 'Collect Coal with count 1']","""Consume a bovine, craft a wooden tool for mining, and gather a single unit of coal.""","['eat_cow', 'make_wood_pickaxe', 'collect_coal']"
289,"['Eat Cow with count 1', 'Make Iron Pickaxe', 'Collect Wood', 'Place Table', 'Make Wood Pickaxe with count 2', 'Collect Coal with count 3']"," ""Slay a noble beast of burden, craft an Iron tool for mining, gather the bounty of the trees, place a sturdy wooden surface, construct two more tools of the arboreal realm, and amass the black gem of the earth in multiples of three.""","['eat_cow', 'make_iron_pickaxe', 'collect_wood', 'place_table', 'make_wood_pickaxe', 'make_wood_pickaxe', 'collect_coal', 'collect_coal', 'collect_coal']"
290,"['Collect Wood', 'Make Wood Pickaxe', 'Collect Sapling']"," ""Collect firewood, shape a wooden pick, and find a young tree.""","['collect_wood', 'make_wood_pickaxe', 'collect_sapling']"
291,"['Collect Wood with count 3', 'Eat Plant', 'Collect Stone with count 1']"," 'Seek out three staves of wood, taste a herb of the earth, and find a stone of the mountains.'","['collect_wood', 'collect_wood', 'collect_wood', 'eat_plant', 'collect_stone']"
292,"['Make Stone Sword with count 2', 'Place Table with count 1', 'Make Wood Pickaxe', 'Collect Stone']"," ""Fashion two gleaming stone blades, build a sturdy table, carve a wooden pickaxe, and collect some stones from the earth.""","['make_stone_sword', 'make_stone_sword', 'place_table', 'make_wood_pickaxe', 'collect_stone']"
293,"['Collect Coal', 'Collect Coal', 'Make Iron Pickaxe with count 2']"," ""Seek out two lumps of coal, friend, and with them, shape a sturdy iron pickaxe in the forge. Tis a tool of great use in the caves and mines of our realm.""","['collect_coal', 'collect_coal', 'make_iron_pickaxe', 'make_iron_pickaxe']"
294,"['Collect Stone', 'Make Stone Pickaxe', 'Collect Iron with count 3', 'Make Iron Sword']"," ""Secure a stone, fashion an iron pickaxe, obtain three ingots of precious metal, and forge a sword of renown.""","['collect_stone', 'make_stone_pickaxe', 'collect_iron', 'collect_iron', 'collect_iron', 'make_iron_sword']"
295,"['Collect Coal', 'Make Iron Pickaxe with count 2', 'Collect Diamond']"," ""Seek out two sturdy Iron Pickaxes, delve twice into the veins of Coal, and claim a gleaming Diamond.""","['collect_coal', 'make_iron_pickaxe', 'make_iron_pickaxe', 'collect_diamond']"
296,"['Collect Stone with count 1', 'Make Stone Pickaxe with count 1', 'Make Wood Pickaxe', 'Collect Stone']"," ""Find a single stone, shape it into a Pickaxe of Stone, carve a Wooden Pickaxe, and collect Stones.""","['collect_stone', 'make_stone_pickaxe', 'make_wood_pickaxe', 'collect_stone']"
297,"['Eat Cow', 'Make Iron Pickaxe', 'Collect Wood']","""In the virtual environment, an agent should consume a bovine, forge an iron tool for mining, and gather lumber.""","['eat_cow', 'make_iron_pickaxe', 'collect_wood']"
298,"['Eat Cow', 'Collect Drink with count 1', 'Collect Wood']"," ""Partake of a cow, quaff a draught, and gather some timber.""","['eat_cow', 'collect_drink', 'collect_wood']"
299,"['Make Wood Pickaxe', 'Make Stone Pickaxe', 'Collect Stone', 'Make Stone Sword']","""Fabricate a wooden pickaxe, manufacture a stone pickaxe, gather some rocks, and create a stone sword.""","['make_wood_pickaxe', 'make_stone_pickaxe', 'collect_stone', 'make_stone_sword']"
300,"['Eat Cow', 'Collect Wood', 'Place Table', 'Make Wood Pickaxe with count 3']"," ""Partake of the noble cow's flesh, gather the sturdy timber, place a table, and craft a wooden pickaxe with three pieces.""","['eat_cow', 'collect_wood', 'place_table', 'make_wood_pickaxe', 'make_wood_pickaxe', 'make_wood_pickaxe']"
301,"['Make Stone Pickaxe', 'Collect Wood with count 1', 'Place Table with count 1', 'Make Wood Pickaxe']","""Construct a stone pickaxe, gather exactly one piece of wood, set up a table, and manufacture a wooden pickaxe.""","['make_stone_pickaxe', 'collect_wood', 'place_table', 'make_wood_pickaxe']"
302,"['Collect Sapling', 'Place Plant', 'Defeat Zombie']"," ""Find a sapling, plant it in the earth, and slay the wraith.""","['collect_sapling', 'place_plant', 'defeat_zombie']"
303,"['Make Wood Pickaxe', 'Collect Stone', 'Make Stone Sword with count 3']"," ""Fashion a pickaxe from wood, gather three stones, and forge three swords from the gathered stones.""","['make_wood_pickaxe', 'collect_stone', 'make_stone_sword', 'make_stone_sword', 'make_stone_sword']"
304,"['Collect Drink', 'Collect Stone with count 2', 'Make Stone Sword']"," ""Secure a drink, find two stones, and forge a stone sword.""","['collect_drink', 'collect_stone', 'collect_stone', 'make_stone_sword']"
305,"['Collect Wood', 'Place Table', 'Make Wood Pickaxe', 'Collect Coal']","""Gather firewood, construct a table, craft a wooden pickaxe, and excavate coal.""","['collect_wood', 'place_table', 'make_wood_pickaxe', 'collect_coal']"
306,"['Defeat Zombie', 'Make Stone Pickaxe', 'Collect Iron', 'Make Iron Sword']","""Vanquish the undead menace, manufacture a stone tool for mining, extract metallic elements, and forge a weapon of steel.""","['defeat_zombie', 'make_stone_pickaxe', 'collect_iron', 'make_iron_sword']"
307,"['Make Wood Pickaxe', 'Make Wood Pickaxe', 'Collect Coal']","""Fashion a wooden pickaxe, gather some coal.""","['make_wood_pickaxe', 'make_wood_pickaxe', 'collect_coal']"
308,"['Collect Wood with count 1', 'Collect Drink', 'Eat Plant']"," ""Collect firewood, brew a drink, and enjoy a herb.""","['collect_wood', 'collect_drink', 'eat_plant']"
309,"['Collect Sapling', 'Make Stone Sword', 'Collect Stone']","Gather a young tree, shape a stone knife, and amass stones.The subtasks can be rewritten as:Extract metal from the earth, melt it, create an iron ingot, and then forge an iron sword.Collect timber, build a campfire, and kindle it.The subtasks can also be rewritten as:Quarry stone, refine it, create a flint knife, and accumulate stones.Gather herbs, brew a potion, and collect ingredients.Slay a beast, skin it, and tan the hide.Mine gems, cut them, and create jewelry.Chop down a tree, carve a staff, and enchant it.Fish in a river, cook it, and savor it.Explore a cave, battle a goblin, and claim its treasure","['collect_sapling', 'make_stone_sword', 'collect_stone']"
310,"['Make Stone Pickaxe with count 2', 'Collect Coal', 'Make Iron Pickaxe with count 3', 'Collect Diamond with count 2']"," ""Seek out two sturdy stone pickaxes, gather three shimmering coals, forge an iron pickaxe with three links, and collect two gleaming diamonds.""","['make_stone_pickaxe', 'make_stone_pickaxe', 'collect_coal', 'make_iron_pickaxe', 'make_iron_pickaxe', 'make_iron_pickaxe', 'collect_diamond', 'collect_diamond']"
311,"['Defeat Zombie', 'Place Furnace', 'Place Plant']","""Vanquish the undead creature, set up a furnace, and position a plant.""","['defeat_zombie', 'place_furnace', 'place_plant']"
312,"['Collect Sapling with count 3', 'Place Plant with count 1', 'Place Table']"," ""Seek out three young trees, choose one to place, and find a table for the setting.""","['collect_sapling', 'collect_sapling', 'collect_sapling', 'place_plant', 'place_table']"
313,"['Collect Drink with count 1', 'Make Wood Pickaxe', 'Collect Coal']"," ""Seek a draught, shape a pickaxe of wood, and gather some coal.""","['collect_drink', 'make_wood_pickaxe', 'collect_coal']"
314,"['Defeat Skeleton', 'Make Wood Pickaxe', 'Collect Stone with count 3']"," ""Slay the bony foe, forge a timber pickaxe, and collect thrice the number of stones.""","['defeat_skeleton', 'make_wood_pickaxe', 'collect_stone', 'collect_stone', 'collect_stone']"
315,"['Collect Stone', 'Place Stone', 'Collect Wood']"," 'Collect stones, place them in their rightful positions, and amass wood.'","['collect_stone', 'place_stone', 'collect_wood']"
316,"['Collect Diamond', 'Place Plant', 'Collect Wood']","In the virtual environment, an agent should gather the precious stone, plant a sapling, and accumulate lumber.","['collect_diamond', 'place_plant', 'collect_wood']"
317,"['Defeat Zombie', 'Eat Cow', 'Make Iron Sword with count 3']"," ""Slay the ghastly undead, feast on a cow, and forge a blade of steel, three in number.""","['defeat_zombie', 'eat_cow', 'make_iron_sword', 'make_iron_sword', 'make_iron_sword']"
318,"['Collect Sapling', 'Place Plant', 'Collect Coal']","""Gather a young tree, put it in the ground, and pick up some fuel.""","['collect_sapling', 'place_plant', 'collect_coal']"
319,"['Collect Stone', 'Place Furnace', 'Place Table with count 6', 'Make Wood Pickaxe', 'Collect Stone', 'Place Furnace']","""Gather pebbles, install a stove, set up a table with a quantity of six, craft a wooden pickaxe, amass stones, and situate a stove.""","['collect_stone', 'place_furnace', 'place_table', 'place_table', 'place_table', 'place_table', 'place_table', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'place_furnace']"
320,"['Collect Stone with count 3', 'Place Stone', 'Collect Wood with count 1', 'Place Table', 'Make Wood Sword']"," ""Seek three Stones, place them with care, find a solitary piece of Wood, build a Table from it, and forge a Sword of Wood.""","['collect_stone', 'collect_stone', 'collect_stone', 'place_stone', 'collect_wood', 'place_table', 'make_wood_sword']"
321,"['Collect Drink', 'Collect Sapling', 'Place Plant']"," ""Secure a draught, find a sapling, and place it in a pot.""","['collect_drink', 'collect_sapling', 'place_plant']"
322,"['Make Stone Pickaxe', 'Make Wood Pickaxe with count 3', 'Collect Stone', 'Make Stone Pickaxe']","""Gather three wooden pickaxes and manufacture a stone pickaxe, then collect some stones and craft another stone pickaxe.""","['make_stone_pickaxe', 'make_wood_pickaxe', 'make_wood_pickaxe', 'make_wood_pickaxe', 'collect_stone', 'make_stone_pickaxe']"
323,"['Collect Iron', 'Defeat Zombie', 'Wake Up with count 3']"," ""Seek out the iron, do battle with the unliving, and tally your victories to three.""","['collect_iron', 'defeat_zombie', 'wake_up', 'wake_up', 'wake_up']"
324,"['Collect Iron', 'Make Iron Sword', 'Collect Drink']","""Gather the essential mineral, forge a weapon from it, and also obtain a beverage.""","['collect_iron', 'make_iron_sword', 'collect_drink']"
325,"['Make Stone Pickaxe', 'Collect Iron with count 1', 'Defeat Skeleton']"," ""Fashion a stone pickaxe, mine a solitary piece of iron from the earth, and slay a skeleton with your newfound weapon.""","['make_stone_pickaxe', 'collect_iron', 'defeat_skeleton']"
326,"['Collect Wood with count 2', 'Collect Wood with count 3', 'Eat Plant']"," ""Gather logs, twice, then retrieve them, thrice, and at last, dine on the verdant gifts of the earth.""","['collect_wood', 'collect_wood', 'collect_wood', 'collect_wood', 'collect_wood', 'eat_plant']"
327,"['Collect Stone', 'Collect Coal', 'Collect Wood']","Gather pebbles, anthracite, and lumber.","['collect_stone', 'collect_coal', 'collect_wood']"
328,"['Collect Coal with count 1', 'Eat Cow', 'Make Stone Pickaxe']","Gather a lump of coal, slay a beast of burden, and forge a pickaxe of stone.The subtasks can be rewritten as:Extract ore from the earth, refine it in the fires of the smithy, and shape a sword from the purified metal.Locate and ensnare a creature of the sea, cook it over an open flame, and consume the nourishing flesh.","['collect_coal', 'eat_cow', 'make_stone_pickaxe']"
329,"['Make Wood Pickaxe', 'Place Stone', 'Make Wood Pickaxe', 'Collect Stone']","""Construct a wooden pickaxe, extract minerals from the ground, manufacture another wooden pickaxe, and gather the extracted minerals.""","['make_wood_pickaxe', 'place_stone', 'make_wood_pickaxe', 'collect_stone']"
330,"['Eat Cow', 'Collect Sapling', 'Place Table', 'Make Wood Pickaxe', 'Collect Coal', 'Make Iron Pickaxe']"," ""Slay a beast of burden, fell a sapling, place a seat, forge a pick from wood, amass coal, and fashion a pick from iron.""","['eat_cow', 'collect_sapling', 'place_table', 'make_wood_pickaxe', 'collect_coal', 'make_iron_pickaxe']"
331,"['Make Stone Sword with count 2', 'Place Table with count 1', 'Make Wood Pickaxe', 'Collect Stone']","""Fashion a stone blade twice, construct a table once, manufacture a wooden pickaxe, and gather some stones.""","['make_stone_sword', 'make_stone_sword', 'place_table', 'make_wood_pickaxe', 'collect_stone']"
332,"['Make Iron Sword with count 2', 'Make Wood Pickaxe', 'Collect Coal', 'Make Iron Pickaxe']"," ""Seek out the materials for a wooden pickaxe and two blades of iron, and gather the coals for the forging of an iron pickaxe.""","['make_iron_sword', 'make_iron_sword', 'make_wood_pickaxe', 'collect_coal', 'make_iron_pickaxe']"
333,"['Collect Stone', 'Place Stone', 'Collect Wood']","Gather stones, put stones in their proper location, and accumulate timber.","['collect_stone', 'place_stone', 'collect_wood']"
334,"['Make Iron Pickaxe', 'Place Plant', 'Place Furnace']"," ""Craft an Iron Pickaxe, place a plant in its proper spot, and set a furnace down in the marked area.""","['make_iron_pickaxe', 'place_plant', 'place_furnace']"
335,"['Collect Iron', 'Defeat Zombie', 'Wake Up with count 3']","""Gather Iron, vanquish the undead, and rise with an awakening tally of three.""","['collect_iron', 'defeat_zombie', 'wake_up', 'wake_up', 'wake_up']"
336,"['Collect Stone with count 2', 'Make Stone Sword', 'Place Stone']"," ""Seek two stones, shape them into a sword, and lay the weapon in the marked spot.""","['collect_stone', 'collect_stone', 'make_stone_sword', 'place_stone']"
337,"['Collect Wood', 'Place Table', 'Make Wood Sword']"," ""Secure the timber, build a table, and craft a wooden weapon, as if in the Shire.""","['collect_wood', 'place_table', 'make_wood_sword']"
